date,author,total_sightings,hours_counted,hph,total_species,tuvu,ospr,wtki,baea,noha,ssha,coha,gosh,rsha,bwha,swha,rtha,feha,rlha,goea,amke,merl,pefa,prfa,unid_accipiter,unid_buteo,unid_eagle,unid_falcon,unid_raptor
20110815,Megan,82,5.75,14.26,6,34,0,1,0,0,1,0,0,0,0,0,39,0,0,0,2,0,2,0,0,1,0,1,1
20110816,Robyn & Katie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20110817,Megan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20110818,Robyn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20110819,Brittney,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20110820,Katie,60,3.25,18.46,7,28,0,0,0,0,2,4,0,1,0,0,22,0,0,0,1,0,1,0,0,1,0,0,0
20110821,Robyn,75,4,18.75,7,36,1,0,0,0,0,3,0,0,0,0,28,0,0,0,1,1,3,0,0,1,0,0,1
20110822,Robyn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20110823,Megan,163,4.75,34.32,8,55,2,0,0,1,1,7,0,1,0,0,86,0,0,0,2,0,0,0,2,0,0,0,6
20110824,Robyn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20110825,Katie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20110826,Katie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20110827,Brittney,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20110828,Megan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20110829,Megan,78,2,39,5,22,1,0,0,0,0,0,0,2,0,0,42,0,0,0,8,0,0,0,0,2,0,0,1
20110830,Katie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20110831,Katie,121,6,20.17,7,51,0,0,0,1,2,4,0,3,0,0,54,0,0,0,2,0,0,0,0,0,0,0,4
20110901,Robyn,58,2.5,23.2,6,30,1,0,0,1,0,1,0,5,0,0,18,0,0,0,0,0,0,0,0,0,0,0,2
20110902,Jill,183,5,36.6,8,59,1,0,0,1,5,7,0,4,0,0,97,0,0,0,4,0,0,0,3,1,0,0,1
20110903,Jill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20110904,Robyn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20110905,Robyn,168,4.75,35.37,6,52,5,0,0,0,2,10,0,0,0,0,90,0,0,0,2,0,0,0,2,1,0,1,3
20110906,Brittney,196,4,49,9,86,1,0,0,1,2,7,0,0,0,0,85,0,0,0,5,1,4,0,3,0,0,0,1
20110907,Megan,199,6,33.17,7,73,1,0,0,0,3,6,0,2,0,0,107,0,0,0,3,0,0,0,2,0,0,0,2
20110908,Katie,23,2,11.5,2,11,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,1
20110909,Katie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20110910,Brittney,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20110911,Megan,154,5.5,28,5,92,0,0,0,0,1,0,0,0,0,0,51,0,0,0,1,0,2,0,1,2,0,2,2
20110912,Megan,308,6,51.33,9,84,4,0,0,1,12,36,0,0,0,0,154,0,0,0,6,1,2,0,8,0,0,0,0
20110913,Robyn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
