date,author,total_sightings,hours_counted,hph,total_species,tuvu,ospr,wtki,baea,noha,ssha,coha,gosh,rsha,bwha,swha,rtha,feha,rlha,goea,amke,merl,pefa,prfa,unid_accipiter,unid_buteo,unid_eagle,unid_falcon,unid_raptor
20140818,Bridget Bradshaw and Matthew Delgato,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20140819,Laura Young,23,2.5,9.2,2,18,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
20140820,Kris Vanesky,38,3,12.67,3,28,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0
20140821,Bridget Bradshaw,96,4,24,6,57,0,0,0,1,0,3,0,0,0,0,25,0,0,0,2,0,1,0,4,3,0,0,0
20140822,Phoebe Parker-Shames,21,1.5,14,4,18,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
20140823,Kris Vanesky Bridget Bradshaw,130,4.25,30.59,5,78,0,0,0,0,0,1,0,0,0,0,43,0,0,0,1,0,1,0,1,2,0,0,3
20140824,Bridget Bradshaw and Matt Delgado,172,3.5,49.14,8,101,2,1,0,1,2,3,0,0,0,0,53,0,0,0,3,0,0,0,1,4,0,0,1
20140825,Kate Owens,108,5,21.6,6,52,1,1,0,2,0,3,0,0,0,0,47,0,0,0,0,0,0,0,0,2,0,0,0
20140826,Phoebe Parker-Shames,115,3.5,32.86,7,64,4,2,0,0,0,3,0,0,0,0,30,0,0,1,3,0,0,0,1,1,0,0,6
20140827,Kate Owens,149,3.5,42.6,6,63,0,0,0,1,1,5,0,0,0,0,67,0,0,0,6,0,0,0,3,1,0,1,1
20140828,Phoebe Parker-Shames and Bridget Bradshaw,57,3.25,17.54,3,38,0,0,0,0,0,0,0,0,0,0,18,0,0,0,1,0,0,0,0,0,0,0,0
20140829,Kris Vanesky,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20140830,Bridget Bradshaw and Phoebe Parker-Shames,169,4.17,40.53,9,74,3,0,0,0,3,2,0,1,0,0,74,0,0,0,1,0,1,1,0,4,0,1,4
20140831,Kate Owens,145,3.62,40.06,7,90,0,1,0,2,0,8,0,0,0,0,34,0,0,1,7,0,0,0,1,0,0,0,1
20140901,Matt Delgado,135,5.75,23.48,6,66,2,0,0,0,0,6,0,0,0,0,50,0,0,0,5,0,1,0,0,0,0,0,5
20140902,Matt Delgado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20140903,Phoebe Parker-Shames and Kris Vanesky,141,5,28.2,6,90,0,0,0,6,0,0,0,0,0,0,32,0,0,4,2,0,3,0,0,0,0,1,3
20140904,Matt Delgado,115,5.75,20,6,66,1,0,0,0,3,1,0,0,0,0,41,0,0,0,1,0,0,0,0,2,0,0,0
20140905,Phoebe Parker-Shames,260,5.75,45.22,7,146,0,0,0,0,1,1,0,0,0,0,96,0,0,2,2,0,7,0,2,1,0,0,2
20140906,Bridget Bradshaw and Kris Vanesky,290,5.92,48.99,8,138,6,3,0,2,1,17,0,0,0,0,113,0,0,0,2,0,0,0,3,2,0,0,3
20140907,Bridget Bradshaw and Matt Delgado,329,5.75,57.22,11,147,8,1,0,3,2,15,0,6,0,0,131,0,0,0,1,0,3,1,5,4,0,0,2
20140908,Bridget Bradshaw and Kate Owens,131,5.67,23.1,8,61,3,0,0,1,1,2,0,0,0,0,59,0,0,0,2,0,2,0,0,0,0,0,0
20140909,Phoebe Parker-Shames Kris Vanesky,218,6,36.33,11,95,1,0,0,6,1,8,0,2,0,1,91,1,0,0,3,0,2,0,2,1,0,1,3
20140910,Matt Delgado,191,5.17,36.75,10,67,2,1,0,0,7,20,0,6,0,0,74,0,0,0,5,1,3,0,4,0,0,1,0
20140911,Kris Vanesky Bridget Bradshaw Phoebe Parker-Shames,237,3.75,63.2,9,58,1,0,0,2,12,27,0,3,0,0,117,0,0,0,8,0,1,0,4,2,0,0,2
20140912,Kris Vanesky Bridget Bradshaw,223,5,44.6,10,52,1,1,0,4,5,18,0,0,0,0,128,1,0,0,2,0,2,0,8,0,0,0,1
20140913,Bridget Bradshaw and Phoebe Parker-Shames,190,4,47.5,8,69,0,0,0,0,10,14,0,5,0,0,78,0,0,1,4,0,1,0,7,1,0,0,0
20140914,Bridget Bradshaw and Kate Owens,266,5.75,45.9,10,138,1,0,0,1,8,10,0,4,0,0,67,0,0,0,4,2,6,0,9,9,0,0,7
20140915,Matthew Delgado,225,5.75,39.13,11,103,4,0,0,1,11,19,0,8,1,0,62,0,0,0,4,3,3,0,5,0,0,0,1
20140916,Phoebe Parker-Shames,301,6,50.17,14,121,4,3,1,2,29,36,0,12,5,0,69,0,0,1,7,1,5,0,4,0,0,0,1
20140917,Phoebe Parker-Shames,348,6,58,12,130,2,1,0,8,55,41,0,3,2,0,89,0,0,0,4,2,1,0,5,0,0,0,5
20140918,Bridget Bradshaw Matt Delgado Kate Owens,28,2,14,7,14,0,0,0,1,3,1,0,0,0,0,6,0,0,0,1,0,2,0,0,0,0,0,0
20140919,Phoebe Parker-Shames,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20140920,Kris Vanesky,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20140921,Matt Delgado and Bridget Bradshaw,518,6,86.33,10,113,1,0,0,6,172,37,0,3,9,0,124,0,0,0,11,4,0,0,28,3,0,3,4
20140922,Bridget Bradshaw,700,6,116.67,13,95,5,4,0,13,189,185,0,19,18,0,128,0,0,1,11,4,8,0,17,1,0,0,2
20140923,Phoebe Parker-Shames and Kris Vanesky,516,6,86,13,98,1,1,1,3,187,115,0,8,18,0,49,0,0,0,1,1,3,0,30,0,0,0,0
20140924,Kate Owens and Matt Delgado,295,6,49.17,10,145,0,2,0,3,34,29,0,3,3,0,42,0,0,0,10,0,5,0,8,0,0,1,10
20140925,Bridget Bradshaw and Phoebe Parker-Shames and Kris Vanesky,167,4.75,35.16,10,82,1,0,0,4,24,11,0,2,1,0,29,0,0,0,4,0,4,0,4,0,0,0,1
20140926,Bridget Bradshaw and Kris Vanesky,213,5.5,38.73,14,79,3,1,0,1,32,26,0,6,3,0,34,1,0,2,7,1,3,0,5,5,0,1,3
20140927,Phoebe Parker-Shames and Bridget Bradshaw,423,6,70.5,14,119,3,1,1,2,92,53,0,15,16,0,75,2,0,0,7,5,4,0,20,5,0,1,2
20140928,Bridget Bradshaw and Kate Owens,641,6,106.83,13,110,1,2,0,5,145,118,0,3,15,0,148,1,0,1,5,0,6,0,66,6,0,0,9
20140929,Bridget Bradshaw and Matt Delgado,484,4.75,101.89,10,61,0,0,0,4,186,77,0,2,19,0,100,0,0,0,4,5,4,0,17,5,0,0,0
20140930,Kate Owens and Matt Delgado,698,5.5,126.91,13,40,1,1,0,7,346,109,0,25,37,1,80,0,0,0,2,2,1,0,40,5,0,0,1
20141001,Kris Vanesky Phoebe Parker-Shames,911,6,151.8,14,181,1,1,0,9,236,175,0,31,13,3,177,0,0,0,7,4,6,1,41,7,0,1,17
20141002,Kate Owens,777,6,129.5,12,193,0,1,0,12,191,108,0,16,5,0,183,0,0,4,8,1,7,0,42,1,0,4,1
20141003,Phoebe Parker-Shames,596,6,99.33,12,225,2,0,0,11,80,90,0,24,11,0,129,2,0,0,4,2,4,0,9,1,0,0,2
20141004,Kris Vanesky Bridget Bradshaw,321,6,53.5,12,119,2,1,0,4,41,31,0,19,5,0,71,0,0,0,3,1,1,0,11,5,0,0,7
20141005,Bridget Bradshaw and Matt Delgado,296,6,49.33,12,94,1,1,0,2,50,29,0,14,6,0,54,0,0,0,4,1,1,0,22,7,0,0,10
20141006,Bridget Bradshaw and Kate Owens,233,5.5,42.36,11,76,0,2,0,7,24,22,0,4,25,0,59,1,0,0,2,0,2,0,4,3,0,1,1
20141007,Phoebe Parker-Shames and Kris Vanesky,240,5.17,46.42,11,65,0,1,0,3,52,12,0,3,10,0,59,0,0,0,6,1,2,0,19,6,0,0,1
20141008,Kate Owens,404,6,67.33,10,113,2,1,0,4,55,69,0,12,38,0,88,0,0,0,2,0,0,0,18,1,0,0,1
20141009,Bridget Bradshaw and Phoebe Parker-Shames and Kris Vanesky,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20141010,Bridget Bradshaw and Kris Vanesky,29,1.17,24.79,5,5,0,0,0,1,4,3,0,0,0,0,14,0,0,0,0,0,0,0,1,0,0,0,1
20141011,Phoebe Parker-Shames and Bridget Bradshaw,273,4.42,61.76,11,56,0,0,0,4,24,36,0,43,16,0,63,1,0,0,4,5,4,0,12,3,0,1,1
20141012,Kate Owens,518,5.75,90.08,13,121,0,2,0,13,56,70,0,62,14,0,150,1,0,4,3,1,1,0,15,5,0,0,0
20141013,Bridget  Bradshaw and Matt Delgado,225,4.75,47.37,11,50,0,1,0,0,57,27,0,4,4,1,67,0,0,1,6,0,2,0,4,0,0,1,0
20141014,Kate Owens,7,1.25,5.6,3,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20141015,Phoebe Parker-Shames and Kris Vanesky,169,5.75,29.39,8,96,0,0,0,1,7,3,0,2,0,0,51,0,0,0,1,1,0,0,3,2,0,0,2
20141016,Kate Bridget and Matt,234,6,39,12,81,0,1,0,5,29,21,0,9,2,1,67,0,0,0,4,4,5,0,2,1,0,0,2
20141017,Phoebe Parker-Shames,245,6,40.83,10,156,0,0,0,3,11,4,0,1,2,0,45,0,0,0,6,2,3,0,2,6,0,1,3
20141018,Bridget and Kris,242,6,40.33,12,145,0,1,0,4,14,13,0,8,1,0,40,1,0,0,1,1,3,0,6,2,0,0,2
20141019,Bridget and Matt,223,5.25,42.48,9,105,0,1,0,7,41,5,0,5,0,0,39,0,0,0,7,2,0,0,10,0,0,0,1
20141020,Kate Matt and Bridget,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20141021,Phoebe Parker-Shames and Kris Vanesky,234,6,39,10,108,0,1,0,3,27,20,0,5,0,0,51,0,0,0,2,5,7,0,2,0,0,0,3
20141022,Kate and Matt,357,6,59.5,12,97,0,2,0,6,91,44,0,4,1,0,73,0,0,2,9,4,3,0,7,2,0,3,9
20141023,Bridget Kris and Phoebe,202,5.17,39.07,12,81,0,1,0,2,29,22,0,9,0,1,35,0,0,1,5,1,3,0,11,1,0,0,0
20141024,Kris Vanesky and Bridget Bradshaw,39,2,19.5,6,19,0,0,0,0,8,0,0,1,0,0,9,0,0,0,1,0,1,0,0,0,0,0,0
20141025,Phoebe Parker-Shames and Bridget Bradshaw,135,5.75,23.48,6,92,1,0,0,0,4,3,0,0,0,0,28,0,0,0,1,0,0,0,2,0,0,1,3
20141026,Bridget and Kate,242,6,40.33,11,136,0,1,0,5,17,3,0,1,0,0,60,0,0,1,2,3,4,0,5,4,0,0,0
20141027,Bridget and Matt,231,6,38.5,10,66,0,0,0,6,33,14,0,9,1,0,75,0,0,0,2,5,5,0,7,8,0,0,0
20141028,Kate and Matt,256,6,42.67,11,50,0,1,0,6,65,23,0,7,1,0,77,0,0,0,4,5,3,0,6,3,0,5,0
20141029,Kris Vanesky,351,6,58.5,10,91,0,1,0,12,91,25,0,5,0,0,92,0,0,0,2,7,10,0,12,1,0,0,2
20141030,BKM,250,6,41.67,9,76,0,1,0,7,45,19,0,0,0,0,81,0,0,0,5,3,3,0,9,0,0,0,1
20141101,Kris Vanesky and Bridget Bradshaw,306,6,51,10,83,0,1,0,9,39,21,0,6,0,0,92,0,0,0,10,13,7,0,9,5,0,1,10
20141102,Matt and Bridget,441,6,73.5,12,133,0,0,0,6,43,17,0,17,3,1,158,0,0,0,12,25,6,1,6,2,0,0,11
20141103,Bridget and Kate,460,6,76.67,12,95,0,1,0,6,74,34,0,19,0,0,182,2,0,0,10,19,3,2,8,3,0,1,1
20141104,Kris Vanesky and Phoebe Parker-Shames,503,6,83.83,15,133,0,1,2,11,64,38,0,11,1,0,213,1,0,2,3,5,5,1,9,2,0,0,1
20141105,Matt and Kate,560,6,93.33,11,134,1,1,0,6,77,31,0,10,0,0,270,0,0,0,3,3,4,0,9,4,0,1,6
20141106,Phoebe Parker-Shames and Bridget Bradshaw and Kris Vanesky,417,6,69.5,10,120,0,1,1,5,59,22,0,23,0,0,163,0,0,0,8,3,0,0,4,5,0,0,3
20141107,Bridget Bradshaw,121,5,24.2,9,27,0,0,0,1,18,6,0,2,0,0,54,0,0,0,2,1,1,0,3,6,0,0,0
20141108,Phoebe Parker-Shames and Bridget Bradshaw,382,6,63.67,12,128,0,3,1,14,47,13,0,7,0,0,140,0,0,2,3,5,4,0,7,2,0,1,5
20141109,Bridget and Kate,195,4.5,43.33,11,70,0,1,0,6,32,9,0,5,1,0,45,0,0,0,5,1,3,0,11,1,0,0,5
20141110,Bridget Bradshaw and Matthew Delgato,12,2,6,4,6,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1
20141111,Kate and Matt,245,6,40.83,9,132,0,2,0,4,9,4,0,5,0,0,69,0,0,0,5,0,12,0,2,1,0,0,0
20141112,Phoebe Parker-Shames and Kris Vanesky,234,6,39,12,90,0,2,0,11,8,2,0,2,0,0,97,1,1,0,11,1,3,0,2,2,0,1,0
20141113,Bridget Kate and Matt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20141114,Phoebe Parker-Shames,338,6,56.33,9,76,0,0,0,14,35,7,0,6,0,0,179,0,0,0,2,2,7,0,7,1,0,2,0
20141115,Kris Vanesky and Bridget Bradshaw,350,6,58.33,12,115,0,1,0,10,17,8,0,7,0,1,164,1,0,0,3,5,10,0,2,6,0,0,0
20141116,Bridget and Matt,291,6,48.5,11,127,0,1,0,9,20,2,0,7,0,0,103,0,0,1,5,3,4,0,3,3,0,0,3
20141117,Bridget and Kate,332,6,55.33,9,78,0,0,0,6,19,5,0,1,0,0,199,0,0,0,6,1,6,0,4,4,0,2,1
20141118,Kris Vanesky and Phoebe Parker-Shames,204,5.75,35.65,8,79,0,0,1,2,8,7,0,0,0,0,91,0,0,0,3,0,2,0,3,7,0,0,1
20141119,Kate and Matt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20141120,Phoebe Parker-Shames and Bridget Bradshaw and Kris Vanesky,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20141121,Bridget Bradshaw,96,5.5,17.45,7,53,0,0,0,0,3,0,0,1,0,0,34,1,0,0,2,0,2,0,0,0,0,0,0
20141122,Bridget and Phoebe,234,4.75,49.26,6,93,0,0,0,5,0,0,0,0,0,0,118,0,0,0,4,1,8,0,1,2,0,0,2
20141123,Kate and Bridget,266,6.0,44.33,11,100,3,2,0,8,6,8,0,7,3,0,111,0,0,0,3,0,5,0,3,7,0,0,0
20141124,Killer B and Matt D,222,5.5,40.36,10,74,1,1,0,3,12,5,0,2,0,0,116,0,0,0,2,0,5,0,1,0,0,0,0
20141125,Matt and Kate,134,5.33,25.14,8,62,0,1,0,3,2,2,0,0,0,0,60,0,0,0,2,0,2,0,0,0,0,0,0
20141126,Phoebe Parker-Shames and Kris Vanesky,165,5.5,30,10,68,1,0,0,5,5,0,0,1,0,0,67,1,0,0,7,2,3,0,2,1,0,0,2
20141127,Bridget Bradshaw and Matt Delgado,222,5.75,38.61,10,68,0,3,0,5,11,2,0,3,0,0,115,0,0,0,6,1,1,0,1,4,0,1,1
20141128,Phoebe Parker-Shames,179,5,35.8,10,79,1,1,0,7,7,0,0,2,0,0,67,0,0,0,6,1,3,0,2,2,0,0,1
20141129,Kris Vanesky and Bridget Bradshaw,23,1.5,15.33,5,17,0,0,0,0,0,0,0,1,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0
20141130,Bridget and Matt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20141201,Bridget and Kate,152,5,30.4,5,107,0,0,0,2,0,0,0,0,0,0,30,0,0,0,4,0,5,0,1,2,0,1,0
20141202,Kris Vanesky,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20141203,Phoebe Parker-Shames and Bridget Bradshaw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20141204,Phoebe Parker-Shames and Bridget Bradshaw and Kris Vanesky,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
