date,author,total_sightings,hours_counted,hph,total_species,tuvu,ospr,wtki,baea,noha,ssha,coha,gosh,rsha,bwha,swha,rtha,feha,rlha,goea,amke,merl,pefa,prfa,unid_accipiter,unid_buteo,unid_eagle,unid_falcon,unid_raptor
20120820,Heather,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20120821,Regan Dohm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20120822,Heather,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20120823,KAH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20120824,SES,80,4,20,4,29,0,0,0,0,0,6,0,0,0,0,36,0,0,0,4,0,0,0,0,0,0,1,4
20120825,Regan Dohm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20120826,KAH,187,4.75,39.37,7,70,1,0,0,0,0,17,0,2,0,0,70,0,0,0,12,0,7,0,1,1,0,2,4
20120827,KAH,114,4.0,28.5,9,33,1,1,0,2,0,3,0,5,0,0,60,0,0,0,5,0,1,0,1,0,0,0,2
20120828,Heather,173,3.5,49.43,7,68,0,1,0,1,1,7,0,0,0,0,85,0,0,0,5,0,0,0,3,2,0,0,0
20120829,SES,211,4,51.67,9,118,2,2,0,5,1,2,0,0,0,0,69,0,0,1,8,0,0,0,1,2,0,0,0
20120830,SES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20120831,Regan Dohm,68,2.5,27.2,4,15,2,0,0,0,0,4,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,2,2
20120901,SES,91,3.5,26,3,22,0,0,0,0,1,0,0,0,0,0,65,0,0,0,0,0,0,0,1,2,0,0,0
20120902,Heather,253,3,84.3,8,34,5,2,0,0,0,7,0,0,0,1,186,0,0,0,11,0,1,0,5,1,0,0,0
20120903,Heather,216,5.5,39.27,9,72,4,1,0,3,1,9,0,1,0,0,98,0,0,0,22,0,0,0,4,0,0,1,0
20120904,Regan Dohm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20120905,Heather,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20120906,KAH,264,6,44,11,71,3,2,0,2,1,5,0,5,0,0,153,0,0,0,12,0,3,1,4,2,0,0,0
20120907,Jill,313,6,52.17,13,83,1,6,0,5,2,19,0,2,0,1,168,0,0,1,16,0,1,1,0,4,0,2,1
20120908,Regan,438,6,73,9,147,2,2,0,3,16,22,0,0,0,0,213,0,0,0,15,0,1,0,8,5,0,1,3
20120909,Jill,376,6,62.67,10,93,2,2,0,1,14,21,0,2,0,0,204,0,0,0,22,0,2,0,9,0,0,0,4
20120910,KAH,266,4.8,55.03,12,50,2,3,0,4,57,6,0,1,0,0,100,1,0,0,22,2,3,0,9,0,0,3,3
20120911,Sarah,16,1.5,10.67,3,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1
20120912,Heather,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20120913,Regan Dohm,133,2.33,57,8,17,0,1,0,1,54,22,0,2,0,0,18,0,0,0,1,0,0,0,17,0,0,0,0
20120914,Regan,268,4.25,63.06,9,41,2,0,0,1,105,28,0,3,0,0,60,0,0,0,4,0,1,0,13,6,0,1,3
20120915,Sarah,204,4,51,7,22,1,0,0,0,91,19,0,3,0,0,45,0,0,0,0,1,0,0,15,0,0,0,7
20120916,Chris Briggs,140,3,46.67,7,21,1,0,0,1,26,5,0,0,0,0,58,0,0,0,4,0,0,0,21,1,0,1,1
20120917,Keith G.,290,6,48.3,11,59,0,1,0,1,61,34,0,5,1,0,101,0,0,0,5,1,6,0,10,3,0,1,1
20120918,Regan and Kate,493,6,82.17,12,89,2,6,0,6,113,94,0,6,4,0,124,0,0,0,17,7,1,0,19,2,0,1,2
20120919,Regan and Heather,623,6,103.8,13,108,2,1,0,6,187,121,0,9,3,0,130,1,0,0,11,4,8,0,26,3,0,1,2
20120920,KAH,726,6,121,13,117,6,5,0,6,205,166,0,15,11,0,128,2,0,0,12,2,6,0,37,6,0,0,2
20120921,Sarah,608,6,101.33,12,148,0,1,0,9,149,82,0,14,7,1,152,0,0,0,8,0,4,1,26,0,0,1,5
20120922,Regan Dohm,662,6,110.3,12,151,2,4,0,9,156,124,0,22,27,0,132,1,0,0,9,4,0,0,17,1,0,1,2
20120923,KAH,231,3.5,66,9,31,1,0,0,1,79,35,0,1,14,0,34,0,0,0,2,0,0,0,30,1,0,0,2
