date,author,total_sightings,hours_counted,hph,total_species,tuvu,ospr,wtki,baea,noha,ssha,coha,gosh,rsha,bwha,swha,rtha,feha,rlha,goea,amke,merl,pefa,prfa,unid_accipiter,unid_buteo,unid_eagle,unid_falcon,unid_raptor
20200909,Step Wilson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200910,T. E. Ely,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200911,Allen Fish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200914,Kelsie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200915,Step Wilson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200916,Step Wilson,225,5,45,11,78,6,0,0,2,29,21,0,3,4,0,70,0,0,0,6,1,2,0,0,3,0,0,0
20200917,T. E. Ely,7,1.25,5.6,3,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0
20200918,Allen Fish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200921,Kelsie ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200922,Step Wilson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200923,Step Wilson,264,5,52.8,15,79,1,0,1,2,27,25,0,3,6,1,94,1,0,2,4,1,3,0,7,7,0,0,0
20200924,T. E. Ely,164,2.75,59.64,9,32,0,1,0,0,29,20,0,7,2,0,58,0,0,0,2,0,1,0,3,3,0,3,3
20200925,Allen Fish,249,4.75,52.4,12,75,3,1,0,2,36,19,0,7,23,0,73,0,0,1,3,3,0,0,0,1,0,0,2
20200928,Kelsie McInnis,117,1.5,78,6,26,0,0,0,2,13,8,0,0,0,0,63,0,0,0,0,1,0,0,4,0,0,0,0
20200929,Step Wilson ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200930,Step Wilson,111,2,55.5,11,15,0,1,0,5,27,11,0,4,1,0,41,0,0,0,2,1,1,0,2,0,0,0,0
20201001,T. E. Ely,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201002,Allen Fish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201005,Kelsie McInnis,219,2.5,87.6,7,65,0,0,0,1,21,12,0,1,31,0,83,0,0,0,0,0,0,0,4,0,0,0,1
