date,author,total_sightings,hours_counted,hph,total_species,tuvu,ospr,wtki,baea,noha,ssha,coha,gosh,rsha,bwha,swha,rtha,feha,rlha,goea,amke,merl,pefa,prfa,unid_accipiter,unid_buteo,unid_eagle,unid_falcon,unid_raptor
20150817,Natasha and Steph,98,3.7,26.5,4,28,0,0,0,0,0,2,0,0,0,0,63,0,0,0,2,0,0,0,3,0,0,0,0
20150818,Nicole and Natasha,61,4.25,14.35,5,23,2,0,0,0,0,2,0,0,0,0,31,0,0,0,1,0,0,0,1,0,0,0,1
20150819,Nicole and Anna,111,3.5,31.71,5,72,0,0,0,0,1,2,0,0,0,0,29,0,0,0,2,0,0,0,1,1,0,0,3
20150820,Laura Booth Stephanie Szarmach Elan Carnahan,81,3.5,23.14,4,36,0,0,0,0,0,1,0,0,0,0,41,0,0,0,0,0,3,0,0,0,0,0,0
20150821,Natasha and Nicole,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150822,Laura and Elan,112,4,28,7,56,3,0,0,1,0,1,0,1,0,0,45,0,0,0,0,0,1,0,0,0,0,0,4
20150823,Anna and Natasha,223,3.75,59.47,7,95,0,1,0,1,0,1,0,0,0,0,122,0,0,0,1,0,1,0,0,0,0,0,1
20150824,Elan and Steph,165,4.25,38.82,8,58,2,2,0,2,0,5,0,1,0,0,84,0,0,0,6,0,0,0,0,2,0,0,3
20150825,Steph and Natasha and Nicole,120,3.75,32,7,63,2,0,0,0,0,1,0,1,0,0,49,0,0,0,1,0,2,0,0,0,0,0,1
20150826,Anna and Laura ,126,3.5,36,4,63,0,0,0,0,0,0,0,0,0,0,55,0,0,0,4,0,1,0,2,0,0,0,1
20150827,Anna and Elan and Steph,149,4,37.25,9,68,5,0,0,4,2,3,0,2,0,0,54,0,0,0,8,1,0,0,0,2,0,0,0
20150828,Nicole and Elan,103,3.5,29.43,4,48,0,0,0,0,0,3,0,0,0,0,48,0,0,0,2,0,0,0,2,0,0,0,0
20150829,Laura and Elan and Natasha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150830,Anna and Natasha and Elan,193,4.08,47.3,6,122,2,0,0,0,0,3,0,1,0,0,60,0,0,0,1,0,0,0,1,0,0,0,3
20150831,Natasha and Steph,220,6,36.67,12,94,1,1,0,1,5,2,0,1,0,0,100,1,0,0,9,0,1,1,0,3,0,0,0
20150901,Nicole and Natasha and Laura,104,5,20.8,7,56,1,0,0,0,0,2,0,1,0,0,41,0,0,0,1,0,1,0,0,0,0,0,1
20150902,Nicole and Anna,69,3.17,21.77,7,27,1,0,0,1,0,2,0,1,0,0,36,0,0,0,1,0,0,0,0,0,0,0,0
